Test Graph, Number of Vertices, Number of Edges, Alpha Value, Randomized Best Value, Greedy Best Value, Semi-Greedy Best Value, Num of iteration for Local, best value for Local, Num of iteration for GRASP,best value for GRASP
set1/g1.rud,800,19176,0.5,10991,10978,10984,180,11344,50,11456
set1/g2.rud,800,19176,0.5,11043,11036,11035,117,11357,50,11437
set1/g3.rud,800,19176,0.5,11018,11029,11042,146,11358,50,11412
set1/g4.rud,800,19176,0.5,11041,11027,11056,146,11389,50,11462
set1/g5.rud,800,19176,0.5,11013,10981,11021,163,11368,50,11474
set1/g6.rud,800,19176,0.5,1523,1492,1512,134,1831,50,1970
set1/g7.rud,800,19176,0.5,1382,1335,1390,178,1761,50,1820
set1/g8.rud,800,19176,0.5,1394,1381,1367,166,1760,50,1860
set1/g9.rud,800,19176,0.5,1441,1486,1448,159,1768,50,1860
set1/g10.rud,800,19176,0.5,1366,1347,1336,208,1718,50,1801
set1/g11.rud,800,1600,0.5,431,434,430,17,464,50,470
set1/g12.rud,800,1600,0.5,418,418,418,17,454,50,456
set1/g13.rud,800,1600,0.5,417,422,418,26,468,50,476
set1/g14.rud,800,4694,0.5,2892,2890,2895,49,2963,50,2975
set1/g15.rud,800,4661,0.5,2869,2869,2873,45,2934,50,2959
set1/g16.rud,800,4672,0.5,2889,2893,2880,53,2945,50,2960
set1/g17.rud,800,4667,0.5,2879,2883,2876,64,2953,50,2970
set1/g18.rud,800,4694,0.5,780,763,781,49,831,50,875
set1/g19.rud,800,4661,0.5,705,681,704,32,761,50,807
set1/g20.rud,800,4672,0.5,737,781,731,49,814,50,826
set1/g21.rud,800,4667,0.5,723,738,716,46,798,50,805
set1/g22.rud,2000,19990,0.5,12359,12349,12354,288,12884,50,12915
set1/g23.rud,2000,19990,0.5,12307,12301,12300,241,12742,50,12870
set1/g24.rud,2000,19990,0.5,12362,12386,12373,295,12850,50,12898
set1/g25.rud,2000,19990,0.5,12395,12357,12397,233,12861,50,12884
set1/g26.rud,2000,19990,0.5,12349,12331,12342,253,12798,50,12866
set1/g27.rud,2000,19990,0.5,2314,2337,2331,259,2832,50,2918
set1/g28.rud,2000,19990,0.5,2304,2292,2293,261,2795,50,2853
set1/g29.rud,2000,19990,0.5,2373,2373,2377,284,2915,50,2927
